query_run_date,query_period,periods_back,days_back,result_count,date_query_start,date_query_end,doc_id,domain,title,date_published,collection,tags,url,summary
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(01)","phap.org","Typhoon Haiyan/ Yolanda: Challenges affecting the humanitarian ...","","haiyan","google-country","http://phap.org/thematic-notes/2014/march/typhoon-haiyan-yolanda-challenges-affecting-humanitarian-response-february","What are some of the most important challenges in the Philippines today with <br> regard to the humanitarian response in the aftermath of Typhoon <b>Yolanda</b>?First <br> of&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(02)","cimicweb.org","Pages - TyphoonHaiyanMaps","","haiyan","google-country","https://www.cimicweb.org/cmo/medbasin/Pages/TyphoonHaiyanMaps.aspx","<b>Typhoon Haiyan</b>, known in Philippines as Typhoon <b>Yolanda</b>, originated in an <br> area of low pressure near the Federated States of Micronesia on 02 November."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(03)","phap.org","Typhoon Haiyan/Yolanda: More than one month after | Professionals ...","","haiyan","google-country","http://phap.org/thematic-notes/2013/december/typhoon-haiyanyolanda-more-one-month-after","More than one month after <b>typhoon Haiyan</b>/<b>Yolanda</b> struck the Philippines on 8 <br> November, the very resilient Filipinos have already started rebuilding their lives,&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(04)","cimicweb.org","Typhoon Haiyan","","haiyan","google-country","https://www.cimicweb.org/cmo/medbasin/Pages/TyphoonHaiyan.aspx","<b>Typhoon Haiyan</b>, known in Philippines as Typhoon <b>Yolanda</b>, originated in an <br> area of low pressure near the Federated States of Micronesia on 02 November."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(05)","khaama.com","Typhoon Haiyan: 10,000 feared dead in Philippines - Khaama Press ...","","haiyan","google-country","http://www.khaama.com/typhoon-haiyan-10000-feared-dead-in-philippines-3064","<b>Typhoon Haiyan</b> is said to be one of the strongest stroms ever to make landfall ... <br> Follow Khaama Press (KP) | Afghan <b>News</b> Agency on Twitter, become a fan on&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(06)","tolonews.com","US, British Warships Sent to Typhoon-Hit Philippines","","haiyan","google-country","http://www.tolonews.com/en/world/12561-us-british-warships-sent-to-typhoon-hit-philippines","Four days after Super <b>Typhoon Haiyan</b> destroyed entire coastal towns in mostly <br> poor central islands with record winds and tsunami-like waves, the magnitude of<br> &nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(07)","af.undp.org","UNDP is expanding post-typhoon recovery projects to five provinces ...","","haiyan","google-country","http://www.af.undp.org/content/philippines/en/home/presscenter/pressreleases/2013/12/05/undp-is-expanding-post-typhoon-recovery-projects-to-five-provinces","The United Nations Development Programme (UNDP) has allocated US$ 11 <br> million to launch recovery programmes in Typhoon <b>Yolanda</b> (Haiyan) affected&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(08)","tolonews.com","More Than 100 Dead After Typhoon Batters Philippines","","haiyan","google-country","http://www.tolonews.com/en/world/12529-more-than-100-dead-after-typhoon-batters-philippines","More than 100 bodies were lying in the streets of a Philippine city smashed by <br> Super <b>Typhoon Haiyan</b>, authorities said Saturday, as soldiers raced to reach&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(09)","anham.com","ANHAM &gt; news_nov_25_2013","","haiyan","google-country","http://www.anham.com/news_nov_25_2013.aspx","Washington (DC) - The Philippines just witnessed one of the largest and most <br> devastating natural disasters ever on record. <b>Typhoon Haiyan</b>, which has <br> affected&nbsp;..."
"2014-04-12","years","1","365","101","2013-04-12","2014-04-12","haiyan-google-countryAF-1-10_y1(10)","countryoffice.unfpa.org","UNFPA in Afghanistan -- LET&apos;S END GENDER-BASED VIOLENCE","","haiyan","google-country","http://countryoffice.unfpa.org/afghanistan/2013/11/28/8481/let_s_end_gender_based_violence/","Right now in the wake of super-<b>typhoon Haiyan</b> in the Philippines, over 65,000 <br> women and girls are at risk of sexual abuse. Trafficking of women and girls for&nbsp;..."
"2014-04-12","years","1","365","5","2013-04-12","2014-04-12","haiyan-google-countryAG-1-10_y1(01)","churchm.ag","Cat-5 Super Typhoon Hits Philippines, Here&apos;s How to Help ...","2013-11-08T04:21:37+00:00","haiyan","google-country","http://churchm.ag/cat-5-super-typhoon-hits-philippines-heres-help/","“Samaritan&#39;s Purse is responding to needs in the Philippines from Super <br> <b>Typhoon Haiyan</b>, a Category 5 typhoon with sustained winds of up to 190 mph—<br> one of&nbsp;..."
"2014-04-12","years","1","365","5","2013-04-12","2014-04-12","haiyan-google-countryAG-1-10_y1(02)","abregistry.ag","Statement of Antigua and Barbuda by H.E. Mr. Dwight C.R. Gardiner ...","","haiyan","google-country","http://abregistry.ag/statement-of-antigua-and-barbuda-by-h-e-mr-dwight-c-r-gardiner-ambassador-permanent-representative-of-antigua-and-barbuda-to-the-imo-and-director-general-of-the-antigua-and-barbuda-maritime-admin/","<b>News</b>. Caribbean MOU – Press Release &middot; 2008 Re-Certification Audit &middot; PARIS ... <br> of the Philippines to the terrible tragedy inflicted on them by <b>Typhoon – Haiyan</b>."
"2014-04-12","years","1","365","5","2013-04-12","2014-04-12","haiyan-google-countryAG-1-10_y1(03)","antiguaobserver.com","Caribbean diplomat says SIDS are the conscience of the planet ...","","haiyan","google-country","http://www.antiguaobserver.com/caribbean-diplomat-says-sids-are-the-conscience-of-the-planet/","Charles made reference of the passage of <b>Typhoon Haiyan</b> in the Philippines <br> earlier this month, which claimed 3,000 lives and tornadoes in the United States&nbsp;..."
"2014-04-12","years","1","365","5","2013-04-12","2014-04-12","haiyan-google-countryAG-1-10_y1(04)","churchm.ag","Anne Dye, Author at ChurchMag","2014-01-05T08:00:20+00:00","haiyan","google-country","http://churchm.ag/author/annedye/","A few weeks ago, we posted about <b>Typhoon Haiyan</b> and how you could get <br> involved and do something to help out. So many times we hear about these type <br> of&nbsp;..."
"2014-04-12","years","1","365","5","2013-04-12","2014-04-12","haiyan-google-countryAG-1-10_y1(05)","antiguaobserver.com","Caribbean negotiators hold key positions at Warsaw climate talks ...","","haiyan","google-country","http://www.antiguaobserver.com/caribbean-negotiators-hold-key-positions-at-warsaw-climate-talks/","He noted the effects of <b>Typhoon Haiyan</b>, which devastated parts of the <br> Philippines on the weekend, and claimed an estimated 10,000 lives. “How can <br> we adapt&nbsp;..."
"2014-04-12","years","1","365","1","2013-04-12","2014-04-12","haiyan-google-countryAI-1-10_y1(01)","wwp.greenwichmeantime.com","Anguilla","","haiyan","google-country","http://wwp.greenwichmeantime.com/time-zone/caribbean/anguilla/","<b>News</b>: ... donation today could help us give life-saving support to a child affected <br> by <b>Typhoon Haiyan</b>, or provide support in their community during the aftermath."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(01)","al.undp.org","Philippines - United Nations and its partners prepare to support ...","","haiyan","google-country","http://www.al.undp.org/content/philippines/en/home/presscenter/pressreleases/2013/11/08/philippines-united-nations-and-its-partners-prepare-to-support-government-in-response-to-typhoon-haiyan-yolanda-","Philippines - United Nations and its partners prepare to support Government in <br> response to <b>Typhoon Haiyan</b> (<b>Yolanda</b>). 08 Nov 2013. (Manila) - The United&nbsp;..."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(02)","ictseurope.com","ICTS Europe helps in the relief effort post Typhoon Haiyan, Philippines","","haiyan","google-country","http://www.ictseurope.com/media/news-pr/2013/11/22/icts-europe-helps-in-the-relief-effort-post-typhoon-haiyan,-philippines","ICTS Europe volunteered its canine security services in support of the victims of <br> <b>Typhoon Haiyan</b> in the Philippines. Eighty-five tons of relief aid was screened by<br> &nbsp;..."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(03)","al.undp.org","Humanitarian partners launch plan to help Typhoon Haiyan survivors","","haiyan","google-country","http://www.al.undp.org/content/philippines/en/home/presscenter/pressreleases/2013/12/16/humanitarian-partners-launch-plan-to-help-typhoon-haiyan-survivors-791-million-required-to-help-people-obtain-life-s-necessities","... its Strategic Response Plan (SRP), seeking US$791 million to assist families <br> affected by <b>Typhoon Haiyan</b> (known locally as <b>Yolanda</b>) over a 12-month period."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(04)","pressdisplay.com","Hindustan Times Mini - DRONES DO THE NEWS","","haiyan","google-country","http://www.pressdisplay.com/staging/timesonline/viewer.aspx?issue=93242013112900000000001001&page=22&article=93ebbfa0-a000-447c-8dc8-64b0a1af00ec&key=Lq+3UxMc31EjsdbtpOVcyw==&feed=rss","TThe best way to film the destruction wrought by <b>Typhoon Haiyan</b> in Tacloban, <br> the Philippines, said Lewis Whyld, a British photographer, was from the air."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(05)","al.undp.org","UNDP announces mobile phone partnership to pay typhoon clean ...","","haiyan","google-country","http://www.al.undp.org/content/philippines/en/home/presscenter/pressreleases/2013/12/04/undp-announces-mobile-phone-partnership-to-pay-typhoon-clean-up-workers","... today for a mobile phone money transfer system to pay those employed in <br> emergency cash-for-work schemes in the aftermath of <b>Typhoon Haiyan</b> (<b>Yolanda</b>)<br> ."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(06)","socialistinternational.org","Climate Change: The eleventh hour","","haiyan","google-country","http://www.socialistinternational.org/viewArticle.cfm?ArticleID=2274","Print this <b>article</b> Email this to a friend ... This year, the impact of <b>typhoon Haiyan</b> <br> on the Philippines, causing more than 5000 deaths, occured just days before&nbsp;..."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(07)","wvi.org","Helping all Albanian students receive a better education | World ...","","haiyan","google-country","http://www.wvi.org/albania/article/helping-all-albanian-students-receive-better-education","... brutally affected by the war in Syria urgently need your help. Donate Now. <br> Related Stories. Restoring Water and Hope in Damaged Schools &middot; <b>Typhoon</b> <br> <b>Haiyan</b>&nbsp;..."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(08)","zeriamerikes.com","Disa nga imazhet më tërheqëse të 2013s","","haiyan","google-country","http://www.zeriamerikes.com/media/photogallery/best-photos-of-the-year-2013/1821014.html","VOA <b>news</b> provides <b>coverage</b> from around the world and learning English <br> lessons from ... Residents look at a ship that was swept by <b>Typhoon Haiyan</b> <br> nearly two&nbsp;..."
"2014-04-12","years","1","365","9","2013-04-12","2014-04-12","haiyan-google-countryAL-1-10_y1(09)","zeriamerikes.com","22 DHJETOR 2013","","haiyan","google-country","http://www.zeriamerikes.com/media/photogallery/december-22-2013-day-in-photos/1815546.html","VOA <b>news</b> provides <b>coverage</b> from around the world and learning English <br> lessons ... Nora Yara, a victim of Super <b>Typhoon Haiyan</b>, decorates a Christmas <br> tree&nbsp;..."
"2014-04-12","years","1","365","4","2013-04-12","2014-04-12","haiyan-google-countryAO-1-10_y1(01)","portalangop.co.ao","Typhoon Haiyan: Philippines defends aid response - World - Angola ...","","haiyan","google-country","http://www.portalangop.co.ao/angola/en_us/noticias/internacional/2013/10/46/Typhoon-Haiyan-Philippines-defends-aid-response,91426506-447c-4a2a-a1df-c746a26939f5.html","<b>Typhoon Haiyan</b>: Philippines defends aid response - World - Angola Press ... <br> behavior in the wake of Typhoon <b>Yolanda</b>, or Haiyan, according to reports."
"2014-04-12","years","1","365","4","2013-04-12","2014-04-12","haiyan-google-countryAO-1-10_y1(02)","ao.undp.org","News Center","","haiyan","google-country","http://www.ao.undp.org/content/philippines/en/home/presscenter.html?area-of-work=focus+areas:poverty+reduction&management=operations:Management/Administrator&goals=&year=","<b>News</b> Center. Filter. Area of Work. Any, Poverty Reduction, Democratic <br> Governance, HIV + AIDS, Crisis Prevention &amp; Recovery, Environment &amp; Energy, <br> Womens&nbsp;..."
"2014-04-12","years","1","365","4","2013-04-12","2014-04-12","haiyan-google-countryAO-1-10_y1(03)","voaportugues.com","Filipinas: Tufão Yolanda devasta país matando mais de um milhar ...","","haiyan","google-country","http://www.voaportugues.com/content/filipinas-tufo-devasta-o-pais-matando/1787056.html","Os Filipinos estão a avaliar os estragos causados pelo poderoso tufão <b>Yolanda</b> <br> que se abateu na sexta-feira sobre o país causando mais de um milhar de&nbsp;..."
"2014-04-12","years","1","365","4","2013-04-12","2014-04-12","haiyan-google-countryAO-1-10_y1(04)","ao.undp.org","Press Center | UNDP","","haiyan","google-country","http://www.ao.undp.org/content/turkey/en/home/presscenter.html?pagePos=2","<b>News</b> Center. Filter. Area of Work. Any, Poverty Reduction&nbsp;..."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(01)","buenosairesherald.com","House of Cards, HBO docs and PBS headline Peabody winners ...","","haiyan","google-country","http://www.buenosairesherald.com/article/156101/house-of-cards-hbo-docs-and-pbs-headline-peabody-win","Breaking <b>News</b> &middot; Printed Edition &middot; Previous Editions ... Philippine network GMA&#39;s <br> <b>coverage</b> of November&#39;s <b>Typhoon Haiyan</b> that killed more than 6,000 people."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(02)","fotorevista.com.ar","Premios del World Press Photo 2014 / Nota de Fotografia de ...","","haiyan","google-country","http://www.fotorevista.com.ar/Noticias/Noticias-Fotografia-Premios-del-World-Press-Photo-2014_140219130001.html","1st Prize Spot <b>News</b> Single Philippe Lopez, France, Agence France-Presse 18 <br> November 2013, Tolosa, the Philippines Survivors of <b>typhoon Haiyan</b> march&nbsp;..."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(03)","buenosairesherald.com","Philippines estimates at least 10,000 died from super typhoon ...","","haiyan","google-country","http://www.buenosairesherald.com/article/144783/philippines-estimates-at-least-10000-died-from-super-typhoon","Breaking <b>News</b> &middot; Printed Edition &middot; Previous Editions ... A day after <b>Typhoon</b> <br> <b>Haiyan</b> churned through the Philippine archipelago in a straight line from east to <br> west,&nbsp;..."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(04)","adeaargentina.org","SOLIDARITY BREAKFAST FOR PHILIPPINES : Adea","","haiyan","google-country","http://www.adeaargentina.org/solidarit-breakfast-for-philippines/","... you to a breakfast on Wednesday, November 27 th at 10:00 at the official <br> residence of Australia (Zabala 1900), in order to help victims of <b>Typhoon Haiyan</b>."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(05)","buenosairesherald.com","Pope Francis leads prayer for Philippines victims after typhoon ...","","haiyan","google-country","http://www.buenosairesherald.com/article/144864/pope-francis-leads-prayer-for-philippines-victims-after-typhoon","Breaking <b>News</b> &middot; Printed Edition &middot; Previous Editions ... Twitter users to join him in <br> prayer for the victims of <b>typhoon Haiyan</b> was re-tweeted almost 30,000 times."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(06)","adeaargentina.org","Events : Adea","","haiyan","google-country","http://www.adeaargentina.org/category/events/","... of Australia (Zabala 1900), in order to help victims of <b>Typhoon Haiyan</b>. ... ADEA <br> during year 2013 in one picture &middot; <b>Article</b> about the ADEA Project: Good&nbsp;..."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(07)","buenosairesherald.com","Philippine typhoon kills estimated 10000, entire villages swept away","","haiyan","google-country","http://www.buenosairesherald.com/article/144865/philippine-typhoon-kills-estimated-10000-entire-villages-swept-away","Super <b>typhoon Haiyan</b> destroyed about 70 to 80 percent of structures in its path <br> as it tore through Leyte province on Friday, said police chief ... Size; Email <b>article</b>"
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(08)","noticias.terra.com.ar","Conmovedor: postales de Filipinas, un país que se sobrepone a la ...","19 de noviembre de 2013","haiyan","google-country","http://noticias.terra.com.ar/internacionales/conmovedor-postales-de-filipinas-un-pais-que-se-sobrepone-a-la-tragedia,1244b89605072410VgnVCM5000009ccceb0aRCRD.html","Conmovedor: postales de Filipinas, un país que se sobrepone a la tragedia."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(09)","wwp.greenwichmeantime.com","Santa Fé, Argentina","","haiyan","google-country","http://wwp.greenwichmeantime.com/time-zone/south-america/argentina/santa-fe/","<b>News</b>: ... donation today could help us give life-saving support to a child affected <br> by <b>Typhoon Haiyan</b>, or provide support in their community during the aftermath."
"2014-04-12","years","1","365","38","2013-04-12","2014-04-12","haiyan-google-countryAR-1-10_y1(10)","argentinaindependent.com","Tol-Haru: Earthship Architecture in Tierra del Fuego - The Argentina ...","","haiyan","google-country","http://www.argentinaindependent.com/socialissues/tol-haru-earthship-architecture-in-tierra-del-fuego/","The team are, in fact, currently in the Philippines helping rebuild after November&#39;s <br> <b>Typhoon Haiyan</b>. The indoor garden creates a greenhouse where exotic&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(01)","hope87.at","Typhoon Haiyan devastates the Philippines - HOPE&apos;87 helps ...","","haiyan","google-country","http://www.hope87.at/news/typhoon-haiyan-devastates-philippines-hope87-helps","Skip to main content. Home <b>News</b> &middot; About About HOPE&#39;87 ... With unimaginable <br> force the <b>typhoon Haiyan</b> swept through the Philippines. Every hour we hear&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(02)","philippine-embassy.at","Promoting Tourism to the Philippines Continues Amidst Flurry of ...","","haiyan","google-country","http://www.philippine-embassy.at/index.php/news-and-events/3-newsflash/388-promoting-tourism-to-the-philippines-continues-amidst-flurry-of-media-coverage-of-typhoon-haiyan-.html","Promoting Tourism to the Philippines Continues Amidst Flurry of Media <b>Coverage</b> <br> of <b>Typhoon Haiyan</b> &middot; PDF, Print, E-mail&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(03)","ofid.org","OFID extends emergency assistance to those affected by Typhoon ...","","haiyan","google-country","http://www.ofid.org/NewsPress/tabid/87/ArticleId/1836/OFID-extends-emergency-assistance-to-those-affected-by-Typhoon-Haiyan.aspx","»<b>News</b> Press ... aid to assist people in the Philippines affected by <b>Typhoon</b> <br> <b>Haiyan</b>. ... Thousands of people have died after <b>Typhoon Haiyan</b>, one of the most<br> &nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(04)","bmeia.gv.at","Austrian Foreign Ministry -&gt; Emergency relief for the Philippines","","haiyan","google-country","http://www.bmeia.gv.at/en/foreign-ministry/news/press-releases/2013/soforthilfe-fuer-die-philippinen.html","Austria shows its solidarity with the victims of <b>typhoon Haiyan</b> 500,000 euros from <br> the Foreign Disaster Relief Fund earmarked for aid projects. Vienna, 12 <br> November 2013 – <b>Typhoon Haiyan</b> has robbed millions of people on ... Search in <br> <b>News</b>&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(05)","merchzilla.com","Help","","haiyan","google-country","https://merchzilla.com/merchandise-and-fashionsolutions/news/view/?news_id=313","<b>Typhoon Haiyan</b>, which hit the Philippines last week, devastated huge parts of <br> the country, leaving tens of thousands, dead, starving and homeless. &quot;6 Rounds&quot;<br> &nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(06)","oe1.orf.at","News in English","","haiyan","google-country","http://oe1.orf.at/artikel/360116","The official <b>news</b> agency says corruption, drug use and gambling were behind ... <br> in the Philippines a month after the devastating <b>typhoon Haiyan</b> hit the country."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(07)","iro-dogs.org","03/14: 2013: +20.000 dead at catastrophes: IRO - Internationale ...","","haiyan","google-country","http://www.iro-dogs.org/en/news/0314-2013-20000-dead-at-catastrophes.html","The biggest humanitarian catastrophe has happened in the Philippines after the <br> devastating <b>typhoon Haiyan</b>. More than 6000 casualties had to be mourned&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(08)","phil-euro-bulletin.com","The Philippine-European BULLETIN","","haiyan","google-country","http://www.phil-euro-bulletin.com/","philippine <b>News</b>, Filipinos in Austria and vienna, Filipinos all-over the world. ... <br> call to support for rehabilitation assistance to the victims of <b>typhoon Haiyan</b> (&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(09)","zumtobelgroup.com","Zumtobel Group - Zumtobel Group responds to disaster in Philippines","","haiyan","google-country","http://www.zumtobelgroup.com/en/Donation_Philippines_Care.asp","Sustainability <b>News</b> Archives. Zumtobel Group responds to disaster in <br> Philippines 18.12.2013. In the aftermath of <b>Typhoon Haiyan</b>, the situation for <br> people in the&nbsp;..."
"2014-04-12","years","1","365","102","2013-04-12","2014-04-12","haiyan-google-countryAT-1-10_y1(10)","webster.ac.at","WUV Thanksgiving Dinner | Webster University Vienna","","haiyan","google-country","http://www.webster.ac.at/current-students/wuv-thanksgiving-dinner","... occasion through a student-initiated Philippines fundraiser; A video was shown <br> revealing the aftermath of <b>Typhoon Haiyan</b> and the harsh circumstances many&nbsp;..."
"2014-04-12","years","1","365","7350","2013-04-12","2014-04-12","haiyan-google-countryAU-1-10_y1(01)","abc.net.au","Deadly Typhoon Haiyan / Yolanda lashes Philippines - Australia ...","","haiyan","google-country","http://www.abc.net.au/news/2013-11-08/an-worlds-most-powerful-typhoon-makes-landfall-in-philippines/5078216","Deadly <b>Typhoon Haiyan</b> / <b>Yolanda</b> lashes Philippines. By Southeast Asia <br> correspondent Zoe Daniel, Sarah Dingle and Shirley Escalante in Manila, and <br> staff."
"2014-04-12","years","1","365","7350","2013-04-12","2014-04-12","haiyan-google-countryAU-1-10_y1(02)","news.com.au","Deaths reported as super typhoon Haiyan lashes the Philippines ...","","haiyan","google-country","http://www.news.com.au/world/super-typhoon-haiyan-gaining-strength-set-to-hit-philippines/story-fndir2ev-1226755411772","WITH the first deaths confirmed as super <b>typhoon Haiyan</b> smashes through the ... <br> link: http://google.org/crisismap/a/gmail.com/<b>TyphoonYolanda</b>?hl=en&amp;llbox=&nbsp;..."
